postcode,total_population,num_sa1s,state,median_age,median_personal_income_weekly,median_hh_income_weekly,median_rent_weekly,median_mortgage_monthly,median_family_income_weekly,avg_household_size,pct_high_income_hh,pct_degree,pct_professional,pct_wfh,labour_force_participation_pct,unemployment_pct,seifa_irsad_score,seifa_irsad_decile,n_degree_total,n_prof_managerial,n_wfh,hh_total
2146,22220,46,NSW,36.66,843.39,2085.99,428.78,2221.52,2281.48,2.93,36.83,34.5,38.75,35.74,60.27,5.86,1009.52,6.52,6105,3959,3658,7282
2147,37477,82,NSW,38.12,808.02,1929.6,418.16,2280.22,2199.07,2.8,33.87,26.13,35.77,34.07,57.93,5.58,994.36,5.61,7954,6053,5786,12803
2148,68059,154,NSW,35.38,770.66,1827.36,410.69,2078.86,1982.51,2.89,29.34,26.95,28.16,26.14,57.6,6.71,961.0,4.56,14760,8438,7841,22225
2150,36286,82,NSW,32.33,1012.73,2059.36,431.65,1963.66,2276.37,2.45,33.68,53.71,49.31,45.54,67.06,7.22,999.07,8.52,16303,9497,8785,13972
2151,21852,52,NSW,39.22,904.29,2027.8,474.72,2375.06,2351.12,2.64,35.72,39.48,48.42,44.0,60.5,5.31,1031.62,8.27,7034,4934,4514,7934
2152,12335,30,NSW,39.83,981.87,2081.44,446.01,2266.25,2444.05,2.56,37.12,36.76,47.92,43.4,62.89,4.97,1037.31,8.22,3638,2787,2530,4778
2153,63462,141,NSW,40.4,990.49,2664.81,589.01,2825.95,2849.76,3.01,48.7,40.57,51.54,45.64,64.02,4.26,1087.89,8.78,20354,15885,14047,20800
2154,42703,99,NSW,43.4,956.47,2753.24,652.46,2867.6,2879.14,3.01,49.11,42.96,52.68,46.25,61.45,4.42,1087.51,9.0,14817,10947,9568,13904
2155,78217,161,NSW,36.03,1108.19,3127.18,632.38,2949.21,3145.99,3.35,57.61,40.73,49.73,45.63,71.66,4.18,1099.31,8.92,24185,20287,18651,23395
2156,13994,36,NSW,46.32,966.15,2957.05,607.92,3245.76,3046.23,3.14,51.89,30.28,47.56,39.27,61.63,3.3,1109.22,8.41,3496,3274,2729,4423
2157,4421,12,NSW,42.47,891.22,2546.42,526.22,2935.02,2621.49,3.23,47.94,23.62,44.4,33.51,65.01,2.66,1076.26,7.31,840,993,749,1320
2158,8931,22,NSW,46.28,936.65,2717.83,597.23,3339.48,2872.19,3.1,48.33,32.86,48.85,41.87,59.12,3.68,1086.01,8.32,2399,2048,1765,2800
2159,5435,17,NSW,46.49,919.82,2493.69,479.15,2921.02,2697.1,2.98,45.42,28.89,48.35,38.01,59.78,3.08,1089.98,8.19,1301,1235,1010,1769
2160,44616,90,NSW,34.01,618.41,1558.29,423.76,2114.27,1711.43,3.06,24.46,22.88,31.2,28.74,45.97,9.2,882.75,4.92,8085,4660,4287,13683
2161,35918,66,NSW,31.95,525.22,1377.17,367.9,2118.99,1511.24,3.25,19.47,16.17,27.01,25.14,39.87,10.27,825.99,3.91,4475,2688,2502,10215
2162,20430,42,NSW,34.68,526.34,1411.17,389.23,2092.53,1586.9,3.24,22.38,16.47,29.94,25.55,41.29,7.92,856.01,4.21,2628,1828,1572,5834
2163,10929,26,NSW,36.45,477.06,1082.15,291.61,1932.81,1261.91,3.01,15.68,12.31,23.17,20.68,34.24,13.28,742.37,2.56,1086,597,541,3266
2164,21634,47,NSW,38.46,521.3,1456.13,421.7,2142.73,1602.46,3.13,23.73,12.97,26.18,24.97,41.34,8.56,846.75,3.06,2240,1726,1653,6584
2165,45732,95,NSW,38.41,460.93,1297.61,406.94,1946.42,1369.28,3.22,19.04,12.02,22.48,21.69,35.03,10.81,757.89,2.33,4480,2679,2576,13483
2166,54417,120,NSW,39.16,483.05,1399.86,367.98,1743.1,1418.6,3.24,21.27,12.76,22.44,19.27,41.76,10.02,759.78,2.34,5783,3841,3299,15781
2167,10542,26,NSW,37.65,852.3,2022.08,416.91,1939.15,2153.69,2.96,35.13,33.78,36.05,31.81,60.31,5.75,1008.11,6.26,2749,1708,1507,3224
2168,45032,102,NSW,34.92,535.37,1488.05,383.02,1957.93,1550.81,3.31,21.46,11.28,20.35,19.16,42.98,10.25,807.97,2.49,4012,2994,2839,12878
2170,114487,250,NSW,35.88,670.69,1692.74,434.79,2041.02,1824.55,3.03,26.97,19.53,29.31,25.88,49.84,7.95,903.87,4.46,17604,12709,11321,36030
2171,40059,83,NSW,33.92,791.21,2396.89,536.3,2344.5,2371.72,3.66,44.11,20.31,32.96,30.6,59.81,5.3,995.26,5.63,6158,5705,5311,10627
2172,2890,7,NSW,39.45,1178.17,3172.63,510.01,2654.03,3271.95,3.24,59.19,32.38,45.93,43.08,71.63,3.32,1110.99,8.28,747,731,684,877
2173,14536,36,NSW,33.85,1043.01,2510.35,470.33,2247.38,2641.34,3.16,46.55,29.46,36.71,37.91,70.74,3.69,1072.02,7.28,3316,2811,2906,4333
